,names,freq,freq_2017,freq_2018,freq_2019,freq_2020,freq_2021
0,automotive,149.0,35.0,47.0,49.0,18.0,0.0
1,utilities,4.0,0.0,3.0,1.0,0.0,0.0
2,construction,112.0,28.0,37.0,29.0,17.0,1.0
3,education,627.0,120.0,157.0,179.0,160.0,11.0
4,consumer products,18.0,4.0,4.0,6.0,4.0,0.0
5,government,31.0,5.0,3.0,12.0,11.0,0.0
6,farming and natural science,107.0,22.0,21.0,43.0,21.0,0.0
7,manufacturing,564.0,109.0,139.0,171.0,135.0,10.0
8,aviation and aerospace,121.0,23.0,29.0,43.0,25.0,1.0
9,medical,725.0,176.0,174.0,228.0,143.0,4.0
10,cultural heritage,122.0,23.0,36.0,39.0,23.0,1.0
11,emergency response,34.0,5.0,7.0,12.0,10.0,0.0
12,telecommunication,912.0,200.0,260.0,279.0,162.0,11.0
13,oil and gas,13.0,1.0,4.0,4.0,4.0,0.0
14,liberal arts,321.0,73.0,105.0,78.0,63.0,2.0
15,chemical,152.0,27.0,41.0,44.0,39.0,1.0
16,power and energy,134.0,29.0,43.0,37.0,25.0,0.0
17,industrial equipment,98.0,19.0,23.0,32.0,22.0,2.0
18,transportation,131.0,26.0,43.0,45.0,16.0,1.0
19,metals and mining,19.0,3.0,6.0,6.0,4.0,0.0
20,marine,14.0,4.0,3.0,5.0,2.0,0.0
